text,ai_probability,human_probability,is_ai_generated,model_used
"Не знаю, обычно не конфликтую. Нужна работа, зарплата хорошая. Меня зовут Анна, я frontend разработчик с 4 годами опыта. Специализируюсь на React, TypeScript.",0.86,0.14,true,claude
"Меня зовут Анна, я frontend разработчик с 4 годами опыта. Специализируюсь на React, TypeScript, работала с Redux, Next.js. React, TypeScript, Redux, Next.js, Styled Components, Jest, Webpack.",0.84,0.16,true,gpt3.5
"React, TypeScript, Redux, Next.js, Styled Components, Jest, Webpack. Также работала с GraphQL и Apollo Client. Разрабатывала админ-панель для e-commerce платформы.",0.88,0.12,true,gpt4
"Разрабатывала админ-панель для e-commerce платформы. Нужно было обеспечить производительность при работе с большими объемами данных. Активно слушаю коллег, ищу общие точки соприкосновения.",0.85,0.15,true,claude
"Активно слушаю коллег, ищу общие точки соприкосновения. Предлагаю альтернативные решения. Важно сохранить рабочие отношения. Ваша компания известна качественными продуктами и сильной командой.",0.87,0.13,true,gpt3.5
"Ваша компания известна качественными продуктами и сильной командой. Хочу развиваться в области frontend разработки. Я DevOps инженер с 6 годами опыта. Работал с AWS, Docker, Kubernetes.",0.89,0.11,true,gpt4
"Я DevOps инженер с 6 годами опыта. Работал с AWS, Docker, Kubernetes, Terraform. Настраивал CI/CD пайплайны. AWS, Azure, Docker, Kubernetes, Terraform, Ansible, Jenkins.",0.82,0.18,true,claude
"AWS, Azure, Docker, Kubernetes, Terraform, Ansible, Jenkins, GitLab CI, Prometheus, Grafana. Знаю Python для автоматизации. Мигрировал монолитное приложение на микросервисы в Kubernetes.",0.86,0.14,true,gpt3.5
"Мигрировал монолитное приложение на микросервисы в Kubernetes. Нужно было обеспечить zero-downtime deployment. Анализирую ситуацию, ищу root cause. Предлагаю технические решения.",0.88,0.12,true,gpt4
"Анализирую ситуацию, ищу root cause. Предлагаю технические решения для устранения проблем. Работаю в команде. Интересные проекты, возможность работать с современными технологиями.",0.84,0.16,true,claude
"Интересные проекты, возможность работать с современными технологиями. Хочу развиваться в области cloud-native решений. Я работаю Java разработчиком уже 5 лет. Начинал с простых веб-приложений.",0.87,0.13,true,gpt3.5
